year,population
1960,661000
1961,666000
1962,680000
1963,694000
1964,709000
1965,723000
1966,737000
1967,745000
1968,754000
1969,762000
1970,771000
1971,781000
1972,793000
1973,806000
1974,820000
1975,833000
1976,847000
1977,861000
1978,875000
1979,889000
1980,903000
1981,915000
1982,917000
1983,918000
1984,919000
1985,920000
1986,921000
1987,920000
1988,919000
1989,917000
1990,916000
1991,917000
1992,924000
1993,932000
1994,939000
1995,946000
1996,954000
1997,963000
1998,971000
1999,980000
2000,989000
2001,997000
2002,1006000
2003,1017000
2004,1027000
2005,1037000
2006,1048000
2007,1061000
2008,1074000
2009,1087000
2010,1100000
2011,1113000
2012,1126000
2013,1138000
2014,1150000
2015,1163000
2016,1176000
2017,1188000
2018,1201000
2019,1215000
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
